设施名称,设施类型,材料,安装年龄,积水风险,遮阴,使用频率,主要使用群体,使用强度,巡检频率,维修响应时间,群体依赖度,停用后影响等级,老化暴露(高/中/低),使用负荷(高/中/低),维护滞后(好/一般/滞后),社会影响(高/中/低),实际故障风险(高/中/低)
晾衣区不锈钢架7,晾衣架,金属,3-8年,高,有遮,低,成人,静坐,每季,>14天,高,中等,高,中,高,高,低
晾衣区不锈钢架8,晾衣架,金属,3-8年,高,有遮,低,成人,静坐,每季,>14天,高,中等,高,中,高,高,低
晾衣区不锈钢架9,晾衣架,金属,3-8年,高,有遮,低,成人,静坐,每季,>14天,高,中等,高,中,高,高,高
晾衣区不锈钢架10,晾衣架,金属,3-8年,中,有遮,高,成人,静坐,每季,>14天,高,中等,高,中,高,高,高
晾衣区不锈钢架11,晾衣架,金属,3-8年,中,有遮,高,成人,静坐,每季,>14天,高,中等,高,中,高,高,高
晾衣区不锈钢架12,晾衣架,金属,3-8年,中,有遮,中,成人,静坐,每季,>14天,高,中等,高,中,高,高,高
晾衣区不锈钢架13,晾衣架,金属,3-8年,中,有遮,中,成人,静坐,每季,>14天,高,中等,高,中,高,高,高
晾衣区不锈钢架14,晾衣架,金属,3-8年,中,有遮,中,成人,静坐,每季,>14天,高,中等,高,中,高,高,高
晾衣区不锈钢架15,晾衣架,金属,3-8年,中,有遮,中,成人,静坐,每季,>14天,中,轻微,高,中,高,高,高
晾衣区不锈钢架16,晾衣架,金属,3-8年,低,有遮,中,成人,静坐,每季,>14天,中,轻微,高,中,高,高,低
晾衣区不锈钢架17,晾衣架,金属,3-8年,低,有遮,中,成人,静坐,每季,>14天,中,轻微,高,中,高,高,低
晾衣区不锈钢架18,晾衣架,金属,3-8年,低,暴晒,中,成人,静坐,每季,>14天,低,轻微,高,中,高,高,低
晾衣区不锈钢架19,晾衣架,金属,3-8年,低,暴晒,中,成人,静坐,每季,>14天,低,轻微,高,中,高,高,低
晾衣区不锈钢架20,晾衣架,金属,3-8年,低,暴晒,中,成人,静坐,每季,>14天,低,轻微,高,中,高,高,低
晾衣区不锈钢架21,晾衣架,金属,3-8年,低,暴晒,中,成人,静坐,每季,>14天,低,轻微,高,中,高,高,低
小区入口信息栏1,信息公告栏,金属,<3年,低,有遮,低,成人,静坐,每周,<3天,低,轻微,高,低,高,高,低
小区入口信息栏2,信息公告栏,金属,<3年,低,有遮,低,成人,静坐,每周,<3天,低,轻微,高,低,高,高,低
小区入口信息栏3,信息公告栏,金属,<3年,低,有遮,低,成人,静坐,每周,<3天,低,轻微,高,低,高,高,低
小区入口信息栏4,信息公告栏,金属,<3年,低,有遮,低,成人,静坐,每周,<3天,低,轻微,高,低,高,高,低
小区入口信息栏5,信息公告栏,金属,<3年,低,有遮,低,成人,静坐,每周,<3天,低,轻微,高,低,高,高,低
小区入口信息栏6,信息公告栏,金属,<3年,低,有遮,低,成人,静坐,每周,<3天,低,轻微,高,低,高,高,低
小区入口信息栏7,信息公告栏,金属,<3年,低,有遮,低,成人,静坐,每周,<3天,低,轻微,高,低,高,高,低
小区入口信息栏8,信息公告栏,金属,<3年,低,有遮,低,成人,静坐,每周,<3天,低,轻微,高,低,高,高,低
小区入口信息栏9,信息公告栏,金属,<3年,低,有遮,低,成人,静坐,每周,<3天,低,轻微,高,低,高,高,低
小区入口信息栏10,信息公告栏,金属,<3年,低,有遮,低,成人,静坐,每周,<3天,低,轻微,高,低,高,高,低
小区入口信息栏11,信息公告栏,金属,<3年,低,有遮,低,成人,静坐,每周,<3天,低,轻微,高,低,高,高,低
小区入口信息栏12,信息公告栏,金属,<3年,低,有遮,低,成人,静坐,每周,<3天,低,轻微,高,低,高,高,低
小区入口信息栏13,信息公告栏,金属,<3年,低,有遮,低,成人,静坐,每周,<3天,低,轻微,高,低,高,高,低
小区入口信息栏14,信息公告栏,金属,<3年,低,有遮,低,成人,静坐,每周,<3天,低,轻微,高,低,高,高,低
小区入口信息栏15,信息公告栏,金属,<3年,低,有遮,低,成人,静坐,每周,<3天,低,轻微,高,低,高,高,低
小区入口信息栏16,信息公告栏,金属,<3年,低,有遮,低,成人,静坐,每周,<3天,低,轻微,高,低,高,高,低
小区入口信息栏17,信息公告栏,金属,<3年,低,有遮,低,成人,静坐,每周,<3天,低,轻微,高,低,高,高,低
小区入口信息栏18,信息公告栏,金属,<3年,低,有遮,低,成人,静坐,每周,<3天,低,轻微,高,低,高,高,低
小区入口信息栏19,信息公告栏,金属,<3年,低,有遮,低,成人,静坐,每周,<3天,低,轻微,高,低,高,高,低
小区入口信息栏20,信息公告栏,金属,<3年,低,有遮,低,成人,静坐,每周,<3天,低,轻微,高,低,高,高,低
